FullGeoName,Year,County,Activity,Total human disease cases,Neuroinvasive disease cases
"WV, Fayette",2003-2022,54019,Human disease cases and non-human activity,40,34
"WV, Greenbrier",2003-2022,54025,Human disease cases,9,8
"WV, Jackson",2003-2022,54035,Non-human activity,0,0
"WV, Kanawha",2003-2022,54039,Human disease cases and non-human activity,25,23
"WV, Lewis",2003-2022,54041,Human disease cases,1,1
"WV, Lincoln",2003-2022,54043,Human disease cases,1,1
"WV, Logan",2003-2022,54045,Human disease cases,5,4
"WV, Mcdowell",2003-2022,54047,Human disease cases,6,6
"WV, Marshall",2003-2022,54051,Human disease cases,1,1
"WV, Mason",2003-2022,54053,Human disease cases,1,1
"WV, Mercer",2003-2022,54055,Human disease cases,29,26
"WV, Mingo",2003-2022,54059,Human disease cases,2,2
"WV, Monongalia",2003-2022,54061,Human disease cases,2,2
"WV, Morgan",2003-2022,54065,Non-human activity,0,0
"WV, Nicholas",2003-2022,54067,Human disease cases,19,16
"WV, Preston",2003-2022,54077,Human disease cases,1,1
"WV, Putnam",2003-2022,54079,Human disease cases,3,2
"WV, Raleigh",2003-2022,54081,Human disease cases,40,37
"WV, Randolph",2003-2022,54083,Human disease cases,1,1
"WV, Roane",2003-2022,54087,Human disease cases,1,1
"WV, Summers",2003-2022,54089,Human disease cases,2,2
"WV, Tucker",2003-2022,54093,Human disease cases,1,1
"WV, Upshur",2003-2022,54097,Human disease cases,1,1
"WV, Wayne",2003-2022,54099,Non-human activity,0,0
"WV, Webster",2003-2022,54101,Human disease cases,4,4
"WV, Wood",2003-2022,54107,Non-human activity,0,0
"WV, Wyoming",2003-2022,54109,Human disease cases,10,9
"WI, Bayfield",2003-2022,55007,Human disease cases,1,0
"WI, Brown",2003-2022,55009,Human disease cases,1,1
"WI, Chippewa",2003-2022,55017,Human disease cases,1,1
"WI, Columbia",2003-2022,55021,Human disease cases,1,1
"WI, Crawford",2003-2022,55023,Human disease cases,4,3
"WI, Dane",2003-2022,55025,Human disease cases,9,7
"WI, Dunn",2003-2022,55033,Human disease cases,1,1
"WI, Eau Claire",2003-2022,55035,Human disease cases,1,1
"WI, Grant",2003-2022,55043,Human disease cases,8,6
"WI, Green",2003-2022,55045,Human disease cases,4,4
"WI, Iowa",2003-2022,55049,Human disease cases,2,0
"WI, Iron",2003-2022,55051,Human disease cases,1,0
"WI, Jackson",2003-2022,55053,Human disease cases,1,0
"WI, Jefferson",2003-2022,55055,Human disease cases,1,1
"WI, Juneau",2003-2022,55057,Human disease cases,2,0
"WI, La Crosse",2003-2022,55063,Human disease cases,3,1
"WI, Lafayette",2003-2022,55065,Human disease cases,1,0
"WI, Marathon",2003-2022,55073,Human disease cases,1,0
"WI, Milwaukee",2003-2022,55079,Human disease cases,3,2
"WI, Monroe",2003-2022,55081,Human disease cases,1,0
"WI, Oconto",2003-2022,55083,Human disease cases,1,1
"WI, Pierce",2003-2022,55093,Human disease cases,2,2
"WI, Polk",2003-2022,55095,Human disease cases,2,2
"WI, Richland",2003-2022,55103,Human disease cases,4,3
"WI, Rock",2003-2022,55105,Human disease cases,2,2
"WI, Sauk",2003-2022,55111,Human disease cases,7,6
"WI, Trempealeau",2003-2022,55121,Human disease cases,2,2
"WI, Vernon",2003-2022,55123,Human disease cases,6,4
"WI, Waukesha",2003-2022,55133,Human disease cases,3,3
